Sample Id,Rep #,Product,Fat,Protein,Lactose,FPD,TS,SNF,Date,Time,Remark
1605-6 89,1,AIG NEWXX,5.89,5.01,4.64,-0.5645,15.54,10.35,16/05/2025,12:31,
1605-6 90,1,AIG NEWXX,6.87,5.43,4.76,-0.56,17.06,10.89,16/05/2025,12:32,
1605-6 91,1,AIG NEWXX,6.59,5.48,4.61,-0.5683,16.68,10.79,16/05/2025,12:32,
1605-6 92,1,AIG NEWXX,5.5,5.36,4.96,-0.5572,15.82,11.02,16/05/2025,12:33,
1605-6 93,1,AIG NEWXX,6,5.79,4.81,-0.5691,16.6,11.3,16/05/2025,12:34,
1605-6 94,1,AIG NEWXX,6.08,5.42,4.7,-0.5598,16.2,10.82,16/05/2025,12:34,
1605-6 95,1,AIG NEWXX,7.56,5.7,4.29,-0.5647,17.55,10.69,16/05/2025,12:35,
1605-6 96,1,AIG NEWXX,7.48,5.6,4.47,-0.5671,17.55,10.77,16/05/2025,12:36,
1605-6 97,1,AIG NEWXX,7.04,5.56,4.71,-0.5636,17.31,10.97,16/05/2025,12:37,
1605-6 98,1,AIG NEWXX,6.31,5.73,4.83,-0.5673,16.87,11.26,16/05/2025,12:37,
1605-6 99,1,AIG NEWXX,6.13,5.34,4.85,-0.5691,16.32,10.89,16/05/2025,12:38,
1605-6 100,1,AIG NEWXX,6.4,5.4,4.74,-0.5632,16.54,10.84,16/05/2025,12:39,
1605-6 101,1,AIG NEWXX,6.87,5.7,4.58,-0.5675,17.15,10.98,16/05/2025,12:39,
1605-6 102,1,AIG NEWXX,5.26,4.76,5.03,-0.5589,15.05,10.49,16/05/2025,12:40,
1605-6 103,1,AIG NEWXX,7.31,5.6,4.63,-0.5615,17.54,10.93,16/05/2025,12:41,
1605-6 104,1,AIG NEWXX,7.06,5.8,4.47,-0.5626,17.33,10.97,16/05/2025,12:42,
1605-6 105,1,AIG NEWXX,4.46,3.34,4.42,-0.5447,12.22,8.46,16/05/2025,12:42,
1605-6 106,1,AIG NEWXX,5.73,4.66,4.56,-0.544,14.95,9.92,16/05/2025,12:43,
1605-6 107,1,AIG NEWXX,7.53,5.98,4.54,-0.5632,18.05,11.22,16/05/2025,12:44,
1605-6 108,1,AIG NEWXX,6.25,5.33,4.85,-0.568,16.43,10.88,16/05/2025,12:44,
1605-6 109,1,AIG NEWXX,6.48,5.7,4.45,-0.5585,16.63,10.85,16/05/2025,12:45,
1605-6 110,1,AIG NEWXX,6.56,5.89,4.67,-0.5664,17.12,11.26,16/05/2025,12:46,
1605-6 111,1,AIG NEWXX,6.08,5.72,4.75,-0.5627,16.55,11.17,16/05/2025,12:47,
1605-6 112,1,AIG NEWXX,4.84,3.75,4.35,-0.5463,12.94,8.8,16/05/2025,12:47,
1605-6 113,1,AIG NEWXX,3.32,3.11,4.2,-0.5487,10.63,8.01,16/05/2025,12:48,
1605-6 114,1,AIG NEWXX,3.75,3.32,4.32,-0.5495,11.39,8.34,16/05/2025,12:49,
1605-6 115,1,AIG NEWXX,6.81,5.67,4.58,-0.5644,17.06,10.95,16/05/2025,12:49,
1605-6 116,1,AIG NEWXX,8.52,5.8,4.58,-0.5713,18.9,11.08,16/05/2025,12:50,
1605-6 117,1,AIG NEWXX,5.66,5.02,4.49,-0.5682,15.17,10.21,16/05/2025,12:51,
1605-6 118,1,AIG NEWXX,5.32,4.16,4.69,-0.5564,14.17,9.55,16/05/2025,12:52,
1605-6 119,1,AIG NEWXX,7.13,5.81,4.43,-0.561,17.37,10.94,16/05/2025,12:52,
1605-6 120,1,AIG NEWXX,6.77,5.55,4.55,-0.5693,16.87,10.8,16/05/2025,12:53,
