Sample Id,Rep #,Product,Fat,Protein,Lactose,FPD,TS,SNF,Date,Time,Remark
1605-6 1,1,AIG NEWXX,6.36,5.79,4.31,-0.5631,16.46,10.8,16/05/2025,10:14,
1605-6 2,1,AIG NEWXX,3.88,3.73,4.25,-0.5445,11.86,8.68,16/05/2025,10:15,
1605-6 3,1,AIG NEWXX,6.37,5.59,4.64,-0.5617,16.6,10.93,16/05/2025,10:16,
1605-6 4,1,AIG NEWXX,6.48,5.6,4.57,-0.5668,16.65,10.87,16/05/2025,10:16,
1605-6 5,1,AIG NEWXX,6.96,5.71,4.35,-0.5716,17.02,10.76,16/05/2025,10:17,
1605-6 6,1,AIG NEWXX,5.73,5.22,4.51,-0.5623,15.46,10.43,16/05/2025,10:18,
1605-6 7,1,AIG NEWXX,3.85,3.32,4.19,-0.551,11.36,8.21,16/05/2025,10:19,
1605-6 8,1,AIG NEWXX,6.97,5.76,4.64,-0.5634,17.37,11.1,16/05/2025,10:19,
1605-6 9,1,AIG NEWXX,6.57,5.6,4.53,-0.5746,16.7,10.83,16/05/2025,10:20,
1605-6 10,1,AIG NEWXX,4.29,3.72,4.46,-0.5457,12.47,8.88,16/05/2025,10:21,
1605-6 11,1,AIG NEWXX,6.77,5.72,4.79,-0.5638,17.28,11.21,16/05/2025,10:21,
1605-6 12,1,AIG NEWXX,4.25,3.45,4.7,-0.5429,12.4,8.85,16/05/2025,10:22,
1605-6 13,1,AIG NEWXX,6.44,5.64,4.58,-0.5622,16.66,10.92,16/05/2025,10:23,
1605-6 14,1,AIG NEWXX,5.94,5.13,4.97,-0.5684,16.04,10.8,16/05/2025,10:24,
1605-6 15,1,AIG NEWXX,7.7,5.82,4.59,-0.5716,18.11,11.11,16/05/2025,10:24,
1605-6 16,1,AIG NEWXX,6.24,5.22,4.8,-0.5689,16.26,10.72,16/05/2025,10:25,
1605-6 17,1,AIG NEWXX,6.12,5.75,4.78,-0.5596,16.65,11.23,16/05/2025,10:26,
1605-6 18,1,AIG NEWXX,6.89,5.67,4.59,-0.5646,17.15,10.96,16/05/2025,10:26,
1605-6 19,1,AIG NEWXX,6.29,5.99,4.55,-0.5784,16.83,11.24,16/05/2025,10:27,
1605-6 20,1,AIG NEWXX,6.65,5.77,4.64,-0.5613,17.06,11.11,16/05/2025,10:28,
1605-6 21,1,AIG NEWXX,6.09,5.6,4.81,-0.564,16.5,11.11,16/05/2025,10:29,
1605-6 22,1,AIG NEWXX,6.63,5.45,4.73,-0.5698,16.81,10.88,16/05/2025,10:29,
1605-6 23,1,AIG NEWXX,7.15,5.69,4.59,-0.5578,17.43,10.98,16/05/2025,10:30,
1605-6 24,1,AIG NEWXX,6.92,5.44,4.68,-0.5645,17.04,10.82,16/05/2025,10:31,
1605-6 25,1,AIG NEWXX,4.3,3.83,4.42,-0.5482,12.55,8.95,16/05/2025,10:31,
1605-6 26,1,AIG NEWXX,5.39,3.76,4.42,-0.5502,13.57,8.88,16/05/2025,10:32,
1605-6 27,1,AIG NEWXX,4.2,3.88,4.73,-0.5473,12.81,9.31,16/05/2025,10:33,
1605-6 28,1,AIG NEWXX,5.16,4.03,4.58,-0.5558,13.77,9.31,16/05/2025,10:34,
1605-6 29,1,AIG NEWXX,5.73,5.14,4.63,-0.5549,15.5,10.47,16/05/2025,10:34,
1605-6 30,1,AIG NEWXX,5.02,4.02,4.5,-0.5531,13.54,9.22,16/05/2025,10:35,
1605-6 31,1,AIG NEWXX,6.96,5.6,4.54,-0.5644,17.1,10.84,16/05/2025,10:36,
1605-6 32,1,AIG NEWXX,7.37,6.05,4.28,-0.5683,17.7,11.03,16/05/2025,10:36,
1605-6 33,1,AIG NEWXX,4.37,3.88,4.59,-0.5447,12.84,9.17,16/05/2025,10:37,
1605-6 34,1,AIG NEWXX,4.87,4.42,4.6,-0.549,13.89,9.72,16/05/2025,10:38,
1605-6 35,1,AIG NEWXX,5.51,5.24,4.81,-0.5528,15.56,10.75,16/05/2025,10:39,
1605-6 36,1,AIG NEWXX,6.65,5.67,4.59,-0.5645,16.91,10.96,16/05/2025,10:39,
1605-6 37,1,AIG NEWXX,5.96,4.62,4.5,-0.5528,15.08,9.82,16/05/2025,10:40,
1605-6 38,1,AIG NEWXX,6.69,5.88,4.72,-0.5689,17.29,11.3,16/05/2025,10:41,
1605-6 39,1,AIG NEWXX,6.5,5.64,4.74,-0.5725,16.88,11.08,16/05/2025,10:41,
1605-6 40,1,AIG NEWXX,8.12,5.9,4.52,-0.571,18.54,11.12,16/05/2025,10:42,
1605-6 41,1,AIG NEWXX,7.85,5.6,4.22,-0.5666,17.67,10.52,16/05/2025,10:43,
1605-6 42,1,AIG NEWXX,6.76,5.86,4.48,-0.5681,17.1,11.04,16/05/2025,10:44,
1605-6 43,1,AIG NEWXX,7.03,5.9,4.34,-0.5635,17.27,10.94,16/05/2025,10:44,
1605-6 44,1,AIG NEWXX,6.34,5.65,4.77,-0.5699,16.76,11.12,16/05/2025,10:45,
1605-6 45,1,AIG NEWXX,7.48,5.98,4.72,-0.5678,18.18,11.4,16/05/2025,10:46,
1605-6 46,1,AIG NEWXX,5.99,5.47,4.85,-0.5579,16.31,11.02,16/05/2025,10:46,
1605-6 47,1,AIG NEWXX,6.07,5.78,4.78,-0.5568,16.63,11.26,16/05/2025,10:47,
1605-6 48,1,AIG NEWXX,6.41,5.46,4.79,-0.5644,16.66,10.95,16/05/2025,10:48,
1605-6 49,1,AIG NEWXX,6.7,5.82,4.4,-0.5736,16.92,10.92,16/05/2025,10:49,
1605-6 50,1,AIG NEWXX,6,5.65,4.75,-0.5633,16.4,11.1,16/05/2025,10:49,
1605-6 51,1,AIG NEWXX,7.3,5.8,4.8,-0.5644,17.9,11.3,16/05/2025,10:50,
1605-6 52,1,AIG NEWXX,4.07,3.68,4.33,-0.5455,12.08,8.71,16/05/2025,10:51,
1605-6 53,1,AIG NEWXX,7.62,5.76,4.52,-0.5628,17.9,10.98,16/05/2025,10:51,
1605-6 55,1,AIG NEWXX,6.59,5.91,4.61,-0.5682,17.11,11.22,16/05/2025,10:53,
1605-6 56,1,AIG NEWXX,7.03,5.82,4.69,-0.5675,17.54,11.21,16/05/2025,10:54,
1605-6 57,1,AIG NEWXX,7.28,5.78,4.57,-0.5593,17.63,11.05,16/05/2025,10:54,
1605-6 58,1,AIG NEWXX,6.4,5.51,4.5,-0.5577,16.41,10.71,16/05/2025,10:55,
